bangla_speech,combined,ipa_output
তুমি কি করো ?,Barishal  ও মোনু হর কি?,bɐɾɔhɐl  o monu hɔɾ kɪ?
এই গরমে আমার কিছু ভালো লাগে না,Barishal  এই থাডা পরা গরমে মোর কিস্সু ভাল্লাগেনা,bɐɾɔhɐl  e͡ɪ̯ t̪ʰɐdɐ pɔɾɐ gɔɾme moɾ kɪsʃu bʱɐllɐgenɐ
ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল,Barishal  পলাউগ্গা এউক্কা ধলা রং এর এউক্কা গুন্জি পইর্রা আইসেল, bɐɾɔhɐl  pɔlɐ͡u̯ggɐ e͡u̯kkɐ d̪ʱɔlɐ ɾɔŋ eɾ ɛ͡u̯kkɐ gunɟɪ po͡ɪ̯ɾɾɐ ɐ͡ɪ̯sel
মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,Barishal  মাইআউগ্গা লাল  রুঙ্গা  শাড়ি পইর্রা মর লগে দেহা হর্তে আইসিলো,bɐɾɔhɐl  mɐ͡ɪ̯ɐ͡u̯ggɐ lɐl  ɾuŋgɐ  ʃɐɽɪ po͡ɪ̯ɾɾɐ mɔɾ lɔge d̪ehɐ hɔɾt̪e ɐ͡ɪ̯sɪlo
ছেলেটি সিলেট থেকে ঢাকায় এসেছে,Barishal  পলাউগ্গা শ্যলেত দিয়া ধাহা আইসেলে, bɐɾɔhɐl  pɔlɐ͡u̯ggɐ ʃɛlet̪ d̪ɪʲɐ d̪ʱɐhɐ ɐ͡ɪ̯ʃele
মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে,Barishal  মাইআউগ্গা শ্যলেত দিআ আঔআ পলাউগ্গারে আক্সের ভালপায়,bɐɾɔhɐl  mɐ͡ɪ̯ɐ͡u̯ggɐ ʃɛlet̪ d̪ɪ͡ɐ̯ ɐ͡u̯ɐ pɔlɐ͡u̯ggɐɾe ɐkseɾ bʱɐlpɐe̯
ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি,Barishal  পলাউগ্গা মাইআউগ্গারে আহন ভালপাঔআর ছহে দেহেনাই,bɐɾɔhɐl  pɔlɐ͡u̯ggɐ mɐ͡ɪ̯ɐ͡u̯ggɐɾe ɐhon bʱɐlpɐ͡u̯ɐɾ cʰɔhe d̪ehenɐ͡ɪ̯
মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে,Barishal  মাইআউগ্গা হেয়ার শব হপ্পনের মইদ্ধে পলাউগ্গারে ভাব্তে থাহে,bɐɾɪʃɐl  mɐ͡ɪ̯ɐ͡u̯ggɐ heʲɐɾ ʃɔb hɔpponeɾ mo͡ɪ̯d̪d̪ʱe pɔlɐ͡u̯ggɐɾe bʱɐbt̪e t̪ʰɐhe
আমার অনেক দিন আগে একবার বিয়ে হয়েছিল,Barishal  মর বহুত দিন আগের্গ এউক্কা বিয়া হইসেলে,bɐɾɔhɐl  mɔɾ bohut̪ d̪ɪn ɐgeɾgo ɛ͡u̯kkɐ bɪʲɐ ho͡ɪ̯ʃele
আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়,Barishal  মর মাএ মরে কইসেলে বিআ হর্লে জিবন পরিবর্তন হইআ জায়,bɐɾɔhɐl  mɔɾ mɐ͡e̯ moɾe ko͡ɪ̯ʃele bɪ͡ɐ̯ hɔɾle ɟɪbɔn poɾɪbɔɾt̪on ho͡ɪ̯͡ɐ̯ ɟɐe̯
আম্মু ঐদিন ঠিক কথাই বলেছিলও,Barishal  মাএ অইদিন হাস্সইঅ কথাই কইসেলে,bɐɾɔhɐl  mɐ͡e̯ ɔ͡ɪ̯d̪ɪn hɐsso͡ɪ̯͡o̯ kɔt̪ʰɐ͡ɪ̯ ko͡ɪ̯ʃele
আম্মু সব সময় আমার মনের কথা বুঝে,Barishal  মাএ শব্কালে মর কইল্যার কথাউগ্গা বঝে,bɐɾɔhɐl  mɐ͡e̯ ʃɔbkɐle mɔɾ ko͡ɪ̯llɐɾ kɔt̪ʰɐ͡u̯ggɐ boɟʱe
আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ,Barishal  ঘরের কামের সেম্রি আহন থিক্কইর্রা কাম হরে না,bɐɾɔhɐl  gʱɔɾeɾ kɐmeɾ ʃemɾɪ ɐhon t̪ʰɪkko͡ɪ̯ɾɾɐ kɐm hoɾe nɐ
আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক,Barishal  মর ঘরের কামের সেম্রি দুই দিন ধইর্রা পলাইন্না,bɐɾɔhɐl  mɔɾ gʱɔɾeɾ kɐmeɾ ʃemɾɪ d̪u͡ɪ̯ d̪ɪn d̪ʱo͡ɪ̯ɾɾɐ pɔlɐ͡ɪ̯nnɐ
আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে,Barishal  মর ঘরের দারআন আহন অই সেম্রির গেরামে ঘর্তে গেসে,bɐɾɔhɐl  mɔɾ gʱɔɾeɾ d̪ɐɾɐn ɐhon ɔ͡ɪ̯ ʃemɾɪɾ geɾɐme gʱɔɾt̪e gese
তোমাকে আমি কল দিবো না,Barishal  তমারে মুই কল্ দিমুনা,bɐɾɔhɐl  t̪ɔmɐɾe mu͡ɪ̯ kɔl d̪ɪmunɐ
এই জিনিষটা খুবই বিরক্তিকর ছিল,Barishal  এই জিনিশ খান আক্কালে অনেক গা জলুইন্না আসেল,bɐɪʃɐl  e͡ɪ̯ ɟɪnɪʃ kʰɐn ɐkkɐle ɔnek gɐ ɟolu͡ɪ̯nnɐ ɐʃel
সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,Barishal  হে শ্যলেত দিআ মর লগে দেহা কর্তে আইসেলে,bɐɾɔhɐl  he ʃɛlet̪ d̪ɪ͡ɐ̯ mɔɾ lɔge d̪ehɐ kɔɾt̪e ɐ͡ɪ̯sele
সে এখন রাজশাহী চলে গেছে,Barishal  হে আহন রাজ্শাহি গেসিগ্গা,bɐɾɔhɐl  he ɐhon ɾɐɟʃɐhɪ gesɪggɐ
সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়,Barishal  উনি আহন হেয়ার দস্গ গ লগে বিরি খায়,bɐɾɔhɐl  unɪ ɐhon heʲɐɾ d̪ɔʃgo gɔ lɔge bɪɾɪ kʰɐe̯
সে একদমই হাসে না,Barishal  হে আক্কালেই ভেত্কায় না,bɐɾɔhɐl  he ɐkkɐle͡ɪ̯ bʱet̪kɐe̯ nɐ
সে আমাকে অপমান করে,Barishal  হে মরে আক্সের অপমান হিরে,bɐɾɔhɐl  he moɾe ɐkseɾ ɔpomɐn hɪɾe
তাঁর বই পরতে একদমই ভাল লাগে না,Barishal  হ্যার বই পড়তে এক্কালেই ভালো লাগে না,bɐɾɔhɐl  hɛɾ bo͡ɪ̯ pɔɽt̪e ɛkkɐle͡ɪ̯ bʱɐlo lɐge nɐ
আপনার কি বই পড়ার অভ্যাস আছে ?,Barishal  আমনের কি বই পড়ার অভ্যাস আছে?,bɐɾoneɾ kɪ bo͡ɪ̯ pɔɽɐɾ ɔbbʱɐʃ ɐcʰe?
তুমি কি আমাকে চিনো ?,Barishal  তুমি কি মোরে চেনো?,bɐɾɔhɐl  t̪umɪ kɪ moɾe ceno?
আমি তোমাকে চিনতে  পারলাম  না,Barishal  মুই তোমারে চেনতে পারলাম না,bɐɾɔhɐl  mu͡ɪ̯ t̪omɐɾe cent̪e pɐɾlɐm nɐ
আমি তোমাকে আগে কখনো দেখি নাই,Barishal  মুই তোমারে আগে কহনো দেহি নাই,bɐɪʃɐl  mu͡ɪ̯ t̪omɐɾe ɐge kɔhono d̪ehɪ nɐ͡ɪ̯
আমাকে পড়ালেখা করতে একদমই ভাল লাগে না,Barishal  মোর পড়াল্যাহা করতে এক্কালেই ভালো লাগে না,bɐɪʃɐl  moɾ pɔɽɐlɛhɐ koɾt̪e ɛkkɐle͡ɪ̯ bʱɐlo lɐge nɐ
আপনার পড়ালেখা করা উচিত,Barishal  আমনের পড়াল্যাহা করা দরকার,bɐɪʃɐl  ɐmoneɾ pɔɽɐlɛhɐ kɔɾɐ d̪ɔɾkɐɾ
আপনাকে পড়ালেখা  করতে হবে,Barishal  আমনের পড়াল্যাহা করতে হইবে,bɐɾɔhɐl  ɐmoneɾ pɔɽɐlɛhɐ koɾt̪e ho͡ɪ̯be
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?,Barishal  আমনের কি পড়াল্যাহা করতে এক্কালেই ভালো লাগে না?,bɐɾoneɾ kɪ pɔɽɐlɛhɐ koɾt̪e ɛkkɐle͡ɪ̯ bʱɐlo lɐge nɐ?
তোর পড়ালেখা কোরতে হবে,Barishal  তোর পড়াল্যাহা করতে হইবে,bɐɾɔhɐl  t̪oɾ pɔɽɐlɛhɐ koɾt̪e ho͡ɪ̯be
তুই কি আর পড়ালেখা করবি নাহ ?,Barishal  তুই কি আর পড়াল্যাহা করবি না?,bɐɾɔhɐl  t̪u͡ɪ̯ kɪ ɐɾ pɔɽɐlɛhɐ koɾbɪ nɐ?
তুই কি পড়ালেখা ছেড়ে দিতে চাস ?,Barishal  তুই কি পড়াল্যাহা ছাইড়া দেতে চাও?,bɐɾɔhɐl  t̪u͡ɪ̯ kɪ pɔɽɐlɛhɐ cʰɐ͡ɪ̯ɽɐ d̪et̪e cɐ͡o̯?
তোর  কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?,Barishal  তোর কি পড়াল্যাহা করতে এক্কালেই ভালো লাগে না?,bɐɾɔhɐl  t̪oɾ kɪ pɔɽɐlɛhɐ koɾt̪e ɛkkɐle͡ɪ̯ bʱɐlo lɐge nɐ?
তুমি কি এখন খেতে বসবা  ?,Barishal  তুমি কি এহন খাইতে ববা?,bɐɾɔhɐl  t̪umɪ kɪ ehon kʰɐ͡ɪ̯t̪e bɔbɐ?
আজকে আমার খেতে ভালো লাগছে না,Barishal  আইজগো মোর খাইতে ভালো লাগতেয়াছে না,bɐɪʃɐl  ɐ͡ɪ̯ɟgo moɾ kʰɐ͡ɪ̯t̪e bʱɐlo lɐgt̪eʲɐcʰe nɐ
আমার  বিদ্যালয়ে  অনেক বন্ধু আছে,Barishal  মোর ইসকুলে ম্যালা দোস্তো আছে,bɐɾɔhɐl  moɾ ɪʃkule mɛlɐ d̪ost̪o ɐcʰe
আমার ছোট বোন বিদ্যালয়ে  যেতে চায় না,Barishal  মোর ছোডো বুইন ইসকুলে যাইতে চায় না,bɐɾɔhɐl  moɾ cʰodo bu͡ɪ̯n ɪʃkule ɟɐ͡ɪ̯t̪e cɐe̯ nɐ
আমার বিদ্যালয়ে  যেতে অনেক ভাল লাগে,Barishal  মোর ইসকুলে যাইতে বেমালা ভালো লাগে,bɐɾɔhɐl  moɾ ɪʃkule ɟɐ͡ɪ̯t̪e bemɐlɐ bʱɐlo lɐge
সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে,Barishal  হ্যায় হ্যার গেরামের এউক্কা ইসকুলে পড়াল্যাহা করে,bɐɾɔhɐl  hɛe̯ hɛɾ geɾɐmeɾ e͡u̯kkɐ ɪʃkule pɔɽɐlɛhɐ koɾe
সে বিদ্যালয়ে যেতে চায় না,Barishal  হ্যায় ইসকুলে যাইতে চায় না,bɐɾɔhɐl  hɛe̯ ɪʃkule ɟɐ͡ɪ̯t̪e cɐe̯ nɐ
তার বিদ্যালয়ে  গিয়ে পড়ালেখা করতে ভাল লাগে না,Barishal  হ্যার ইসকুলে যাইয়া পড়াল্যাহা করতে ভালো লাগে না,bɐɾɔhɐl  hɛɾ ɪʃkule ɟɐ͡ɪ̯ʲɐ pɔɽɐlɛhɐ koɾt̪e bʱɐlo lɐge nɐ
সে বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,Barishal  হ্যায় ইসকুলে যাইয়া দোস্তোগো লগে কেচ্ছা করে,bɐɾɔʃɐl  hɛe̯ ɪʃkule ɟɐ͡ɪ̯ʲɐ d̪ost̪ogo lɔge keccʰɐ koɾe
সে বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,Barishal  হ্যায় ইস্কুলের মাডে পেরতেকদিন ক্রিকেট খেলে,bɐɾɔʃɐl  hɛe̯ ɪskuleɾ mɐde peɾt̪ekd̪ɪn kɾɪket kʰele
সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল,Barishal  হ্যায় ইশকুলের মাডে মাথা ঘুরাইয়া পইড়া গ্যাল্লেহ,bɐɾɔhɐl  hɛe̯ ɪʃkuleɾ mɐde mɐt̪ʰɐ gʱuɾɐ͡ɪ̯ʲɐ po͡ɪ̯ɽɐ gɛlleh
সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,Barishal  হ্যায় ম্যালা দিন আগে হ্যার ইশকুলের এউক্কা মাইয়ারে ভালোবাসতো,bɐɾɔhɐl  hɛe̯ mɛlɐ d̪ɪn ɐge hɛɾ ɪʃkuleɾ e͡u̯kkɐ mɐ͡ɪ̯ʲɐɾe bʱɐlobɐʃt̪o
ছেলেটি তাঁর গ্রামের ছোটো  একটি  বিদ্যালয়  থেকে পড়ালেখা করে এসএসসি  পাশ করেছে,Barishal  পোলাডা হ্যার গেরামের ছোডো এউক্কা ইসকুল হইতে পড়াল্যাহা কইররা মেটটিক পাশ করছে,bɐɾcʰe  polɐdɐ hɛɾ geɾɐmeɾ cʰodo e͡u̯kkɐ ɪʃkul ho͡ɪ̯t̪e pɔɽɐlɛhɐ ko͡ɪ̯ɾɾɐ mettɪk pɐʃ koɾcʰe
তোমাদের বাসা কোথায়?,Barishal  তোমাগো বাড়ি কোম্মে?,bɐɾɔhɐl  t̪omɐgo bɐɽɪ komme?
ঢাকা বাংলাদেশের রাজধানী,Barishal  ঢাহা বাংলাদেশের রাজধানী,bɐɾɔhɐl  dʱɐhɐ bɐŋlɐd̪eʃeɾ ɾɐɟd̪ʱɐnɪ
তুমি কি আমার সাথে প্রেম করবা?,Barishal  তুমি কি মোর লগে পেরেম করবা?,bɐɾɔhɐl  t̪umɪ kɪ moɾ lɔge peɾem koɾbɐ?
আমি আজকে সকালে ফুটবল খেলেছি,Barishal  মুই আইজগো বেইননা কালে ফুটবল খেলছি,bɐɾɔhɐl  mu͡ɪ̯ ɐ͡ɪ̯ɟgo be͡ɪ̯nnɐ kɐle pʰutbɔl kʰelcʰɪ
আমি তোমার মনের কথা বুঝি না,Barishal  মুই তোমার মনের কথা বোঝতে পারি না,bɐɾɔhɐl  mu͡ɪ̯ t̪omɐɾ moneɾ kɔt̪ʰɐ boɟʱot̪e pɐɾɪ nɐ
তোমার জন্য আমার খুব কষ্ট হয়,Barishal  তোমার লইজ্ঞা মোর বেমালা কষ্ট হয়,bɐɾɔhɐl  t̪omɐɾ lo͡ɪ̯ggɐ moɾ bemɐlɐ koʃto hɔe̯
আমাদের স্বপ্ন অনেক বড়,Barishal  মোগো হপোন ম্যালা বড়,bɐɾɪʃɐl  mogo hopon mɛlɐ bɔɽo
অল্পবয়সী একটি  ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,Barishal  ‍কমবয়সী এউক্কা পোলা বায়রায় ফুডপাতে দৌড়াইতেয়াছে,bɐɽohɐl  ‍komobɔʲoʃɪ ɛ͡u̯kkɐ polɐ bɐʲɾɐe̯ pʰudpɐt̪e d̪o͡u̯ɽɐ͡ɪ̯t̪eʲɐcʰe
একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে,Barishal  এউক্কা ল্যাদা গেদু বিছনায় লাফাইয়া ওঠছে,bɐɾɔhɐl  ɛ͡u̯kkɐ lɛd̪ɐ ged̪u bɪcʰɔnɐe̯ lɐpʰɐ͡ɪ̯ʲɐ otʰcʰe
একটি ছেলে বিছানায় লাফাচ্ছে,Barishal  এউক্কা পোলা বিছনায় লাফাইতেয়াছে,bɐɾɔhɐl  ɛ͡u̯kkɐ polɐ bɪcʰonɐe̯ lɐpʰɐ͡ɪ̯t̪eʲɐcʰe
একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে,Barishal  এউক্কা পোলা এউক্কা বিছনা গোনে আর এউক্কা বিছানায় লাপ দেতেয়াছে,bɐɾɪʃɐl  e͡u̯kkɐ polɐ e͡u̯kkɐ bɪcʰɔnɐ gone ɐɾ e͡u̯kkɐ bɪcʰɐnɐe̯ lɐp d̪et̪eʲɐcʰe
একটি ছোট শিশু ফুটপাতে হাঁটছে,Barishal  এউক্কা ছোডো গেদু ফুডপাতে হাটতেয়াছে,bɐɾɔhɐl  ɛ͡u̯kkɐ cʰodo ged̪u pʰudpɐt̪e hɐtt̪eʲɐcʰe
আমি একজন ছেলে,Barishal  মুই এউক্কা পোলা,bɐɾɔhɐl  mu͡ɪ̯ e͡u̯kkɐ polɐ
আমি একজন মেয়ে,Barishal  মুই এউক্কা মাইয়া,bɐɾɔhɐl  mu͡ɪ̯ e͡u̯kkɐ mɐ͡ɪ̯ʲɐ
আমার স্বামী আমাকে খুব ভালোবাসে,Barishal  মোর জামাই মোরে বেমালা ভালোবাসে,bɐɾɔhɐl  moɾ ɟɐmɐ͡ɪ̯ moɾe bemɐlɐ bʱɐlobɐʃe
স্কুল জীবন থেকে তাদের প্রেম ছিলো,Barishal  ইসকুল সময় হইতে হ্যাগো পেরেম আল্লেহ,bɐɾhɐl  ɪʃkul ʃɔmɔe̯ ho͡ɪ̯t̪e hɛgo peɾem ɐlleh
আমি বিবাহ করেছি দশ বছর হয়,Barishal  মুই বিয়া করছি ১০ বছর হইছে,bɐɪʃɐl  mu͡ɪ̯ bɪʲɐ koɾcʰɪ d̪ʱɔd̪o bɔcʰoɾ ho͡ɪ̯cʰe
অসম্ভব ভাল ছবি,Barishal  বেমালা ভালো ছবি,bɐɾɔhɐl  bemɐlɐ bʱɐlo cʰobɪ
বহুদিন পরে একটা ভাল ছবি দেখলাম,Barishal  ম্যালাদিন পরে এউক্কা ভালো ছবি দেখলাম,bɐɾɔhɐl  mɛlɐd̪ɪn pɔɾe e͡u̯kkɐ bʱɐlo cʰobɪ d̪ekʰlɐm
অসম্ভব ভালো লিখেছেন,Barishal  বেমালা ভালো ল্যাখছেন,bɐɾɔhɐl  bemɐlɐ bʱɐlo lɛkʰcʰen
বহুদিন পরে একটা ভালো লেখা পড়লাম,Barishal  ম্যালাদিন পরে এউক্কা ভালো ল্যাহা পড়লাম,bɐɾɔhɐl  mɛlɐd̪ɪn pɔɾe e͡u̯kkɐ bʱɐlo lɛhɐ pɔɽlɐm
প্রচণ্ড মাথা ব্যথা করছিলো,Barishal  বেমালা মাথা ব্যাথা করতেয়াছেলে,bɐɾɔʃɔl  bemɐlɐ mɐt̪ʰɐ bɛt̪ʰɐ koɾt̪eʲɐcʰele
কিছুই বুঝতে পারলাম না,Barishal  কিছুই বোঝতে পারলাম না,bɐɪʃɐl  kɪcʰu͡ɪ̯ boɟʱot̪e pɐɾlɐm nɐ
তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন,Barishal  হ্যায় এইডা দেইখ্যা গেয়ান হারাইয়া ফালাইছে,bɐɾɔhɐl  hɛe̯ e͡ɪ̯dɐ d̪e͡ɪ̯kʰkʰɐ geʲɐn hɐɾɐ͡ɪ̯ʲɐ pʰɐlɐ͡ɪ̯cʰe
এক কথায় অনেক সুন্দর লাগছে আপনাকে,Barishal  এক কথায় ম্যালা সুন্দর লাগতেয়াছে আমনেরে,bɐɾɔhɐl  ɛk kɔt̪ʰɐe̯ mɛlɐ ʃund̪ɔɾ lɐgt̪eʲɐcʰe ɐmoneɾe
আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,Barishal  আমনের ছবির চাইতে আমনে বাস্তবে বেমালা সুন্দর,bɐɾɔhɐl  ɐmoneɾ cʰobɪɾ cɐ͡ɪ̯t̪e ɐmone bɐst̪obe bemɐlɐ ʃund̪ɔɾ
আপনার হাশির কাছে সব কিছু হার মেনে যায়,Barishal  আমনের হাসির সামনে বেবাক কিছু হার মাইন্না যায়,bɐɾɔhɐl  ɐmoneɾ hɐʃɪɾ ʃɐmne bebɐk kɪcʰu hɐɾ mɐ͡ɪ̯nnɐ ɟɐe̯
আপনার চোখ অনেক সুন্দর,Barishal  আমনের চউখ বেমালা সুন্দর,bɐɾɔhɐl  ɐmoneɾ cɔ͡u̯kʰ bemɐlɐ ʃund̪ɔɾ
আপনার সাথে পরিচিত হয়ে  ভালো লাগলো,Barishal  আমনের লগে পরিচিত হইয়া ভালো লাগছে,bɐɾɔhɐl  ɐmoneɾ lɔge poɾɪcɪt̪o ho͡ɪ̯ʲɐ bʱɐlo lɐgcʰe
অনেক সময় পর আপনাকে দেখছি,Barishal  ম্যালাদিন পর আমনেরে দেখলাম,bɐɾɔhɐl  mɛlɐd̪ɪn pɔɾ ɐmoneɾe d̪ekʰlɐm
দু ভাইয়ের মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,Barishal  দুই ভাইগো মইধ্যে জাগা জমি লইয়া কাইজ্জা হয়,bɐɾɔhɐl  d̪u͡ɪ̯ bʱɐ͡ɪ̯go mo͡ɪ̯d̪d̪ʱe ɟɐgɐ ɟomɪ lɔ͡ɪ̯ʲɐ kɐ͡ɪ̯ɟɟɐ hɔe̯
পরে এক ভাই কুয়েত চলে যায় আরেক ভাই সুদান চলে যায়,Barishal  পরে এউক্কা ভাই কুয়েত চইল্যা যায় আর এউক্কা ভাই সুদান চইল্যা যায়,bɐɾɔʃɐl  pɔɾe e͡u̯kkɐ bʱɐ͡ɪ̯ kuʲet̪ co͡ɪ̯llɐ ɟɐe̯ ɐɾ e͡u̯kkɐ bʱɐ͡ɪ̯ ʃud̪ɐn co͡ɪ̯llɐ ɟ
কিছু দিন পর সুদান ফেরত লোকটি বিয়ে করেন,Barishal  কয়দিন পরে সুদান দিয়া আসা ব্যাডা বিয়া করেন,bɐɾɔʃɐl  kɔʲd̪ɪn pɔɾe ʃud̪ɐn d̪ɪʲɐ ɐʃɐ bɛdɐ bɪʲɐ kɔɾen
"মোবাইল ছাড়া বাথরুমে গেলে, মনে হয় জরুরি ফাইল ছাড়া অফিসে বসে আছি","Barishal  মোবাইল থুইয়া বাথরুমে গ্যালে, মনে হয় জরুলি কাগজ থুইয়া অপিসে বইইয়া আছি","bɐɾɔhɐ  mobɐ͡ɪ̯l t̪ʰu͡ɪ̯ʲɐ bɐt̪ʰɾume gɛle, mone hɔe̯ ɟoɾulɪ kɐgoɟ t̪ʰu͡ɪ̯ʲɐ ɔpɪʃe bo͡ɪ̯"
যাদের গালি দেওয়া হয়ে গেছে তারা দয়া করে লাইন থেকে সরে যান,Barishal  যাগো খামার দেওয়া হইছে হ্যারা দয়া কইরা লাইন দিয়া সৈররা যান,bɐɾɔhɐl  ɟɐgo kʰɐmɐɾ d̪e͡o̯ʷɐ ho͡ɪ̯cʰe hɛɾɐ d̪ɔʲɐ ko͡ɪ̯ɾɐ lɐ͡ɪ̯n d̪ɪʲɐ ʃo͡ɪ̯ɾɔɾɐ
পেছনে এখনো অনেক মানুষ লাইনে দাঁড়িয়ে আছে,Barishal  পাছে এহনও বেমালা মানু লাইনে খারাইয়া আছে,bɐɾɔhɐl  pɐcʰe ehono bemɐlɐ mɐnu lɐ͡ɪ̯ne kʰɐɾɐ͡ɪ̯ʲɐ ɐcʰe
তাদেরকে গালি দেওয়ার সুযোগ করে দিন,Barishal  হ্যাগো খামার দেওয়ার সুযোগ কইরা দ্যান,bɐɾɔʃɐl  hɛgo kʰɐmɐɾ d̪e͡o̯ʷɐɾ ʃuɟog ko͡ɪ̯ɾɐ d̪ɛn
খুব বেশি কিছু বলবো না  কারন আবেগে চোখে পানি চলে আসছে,Barishal  বেমালা কিছু কমু না কারণ আবেগে চোখে পানি চইল্যা আইছে,bɐɾɔhɐl  bemɐlɐ kɪcʰu komu nɐ kɐɾon ɐbege cokʰe pɐnɪ co͡ɪ̯llɐ ɐ͡ɪ̯cʰe
তুমি বলছো যে থাকার সে এমনিই থেকে যাবে,Barishal  তুমি কইছো যে থাহার হ্যায় এমনিতেই থাকবে,bɐɾɔhɐl  t̪umɪ ko͡ɪ̯cʰo ɟe t̪ʰɐhɐɾ hɛe̯ emnɪt̪e͡ɪ̯ t̪ʰɐkbe
প্রথমে আপনাকে একটি দোকানে যেতে হবে,Barishal  পোরথমে আমনেরে এউক্কা দোকানে যাইতে হইবে,bɐɾt̪ʰome ɐmoneɾe e͡u̯kkɐ d̪okɐne ɟɐ͡ɪ̯t̪e ho͡ɪ̯be
নিজের পছন্দের বিয়েতে বাবা মাকে রাজি করানো হলো,Barishal  নিজের পছন্দের বিয়ায় বাপ মায়রে রাজি করাইন্না হইছে,bɐɾɔhɐl  nɪɟeɾ pɔcʰond̪eɾ bɪʲɐe̯ bɐp mɐʲɾe ɾɐɟɪ kɔɾɐ͡ɪ̯nnɐ ho͡ɪ̯cʰe
মেয়েটি লাল শাড়ি পড়ে দাড়িয়ে  আছে,Barishal  মাইয়ডা লাল শাড়ি পইররা খারাইয়া আছে,bɐɾɐl  mɐ͡ɪ̯ʲdɐ lɐl ʃɐɽɪ po͡ɪ̯ɾɾɐ kʰɐɾɐ͡ɪ̯ʲɐ ɐcʰe
বউয়ের জন্য আর বন্ধুদের মাঝে মুখ দেখানোর উপায় নাই,Barishal  বউয়ের লইজ্ঞা আর দোস্তোগো মাঝে মুখ দ্যাহাইন্নার উপায় নাই,bɐɾɔ͡u̯ʲeɾ lo͡ɪ̯ggɐ ɐɾ d̪ost̪ogo mɐɟʱe mukʰ d̪ɛhɐ͡ɪ̯nnɐɾ upɐe̯ nɐ͡ɪ̯
আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,Barishal  মোরে বেবাকের সামনে মারতে মারতে বাসায় লইয়া আহে,bɐɾɔhɐl  moɾe bebɐkeɾ ʃɐmne mɐɾt̪e mɐɾt̪e bɐʃɐe̯ lɔ͡ɪ̯ʲɐ ɐhe
আমি জানি এখানে অনেক  মেয়ে কমেন্ট পড়তে আসবে,Barishal  মুই জানি এইহানে বেমালা মাইয়া কমেন্ট পড়তে আইবে,bɐɾɔhɐl  mu͡ɪ̯ ɟɐnɪ e͡ɪ̯hɐne bemɐlɐ mɐ͡ɪ̯ʲɐ kɔment pɔɽt̪e ɐ͡ɪ̯be
মাঝে মাঝে মনে হয় ঘরবাড়ী সব মশার নামে লিখে দিয়ে আমি জঙ্গলে চলে যাই,Barishal  মাঝে মইধ্যে মনে কয় বাসাবাড়ি সব মাশার নামে লেইখ্যা দিয়া মুই জঙ্গলে চইল্যা যাই,bɐɾɔhɐl  mɐɟʱe mo͡ɪ̯d̪d̪ʱe mone kɔe̯ bɐʃɐbɐɽɪ ʃɔb mɐʃɐɾ nɐme le͡ɪ̯kʰkʰɐ d̪ɪʲɐ mu͡ɪ̯ ɟ
"তোমার হয়ে আছি আমি, তোমার হয়ে থাকবো","Barishal  তোমার হইয়া আছি মুই, তোমার হইয়াই থাকমু","bɐɾʃɐl  t̪omɐɾ ho͡ɪ̯ʲɐ ɐcʰɪ mu͡ɪ̯, t̪omɐɾ ho͡ɪ̯ʲɐ͡ɪ̯ t̪ʰɐkmu"
সারা জীবন তোমায় আমি ভালবেসে যাবো,Barishal  সারা জীবন তোমারে মুই ভালোবাইসা যামু,bɐɾɔhɐl  ʃɐɾɐ ɟɪbɔn t̪omɐɾe mu͡ɪ̯ bʱɐlobɐ͡ɪ̯ʃɐ ɟɐmu
