bangla_speech_word,bangla_speech_ipa,barishal_word,barishal_ipa,sylhet_word,sylhet_ipa,mymensingh_word,mymensingh_ipa,noakhali_word,noakhali_ipa,chittagong_word,chittagong_ipa,english_translation,PIE_root,PIE_gloss
তুলেছে,t̪ul̪et͡ɕʰe,তোলছে,t̪olcʰe,তুলছে,t̪ulcʰe,তুলসে,t̪ulʃe,তুইলেছে,t̪u͡ɪ̯lecʰe,তুইল্লে,t̪u͡ɪ̯lle,Picked up,,
তেঁতুল,t̪eঁt̪ul̪ɔ,ট্যাঙ্গা,tɛŋgɐ,তেতুল,t̪et̪ul,তেঁতুল,t̪ẽt̪ul,খাইলে,kʰɐ͡ɪ̯le,হাইলে,hɐ͡ɪ̯le,Pebble,,
তেতুলের,t̪et̪ul̪erɔ,ট্যাঙ্গার,tɛŋgɐɾ,তেতুলের,t̪et̪uleɾ,তেতুলের,t̪et̪uleɾ,তেঁতুলের,t̪ẽt̪uleɾ,তেতুলের,t̪et̪uleɾ,Fibrous,,
তৈরি,t̪ojri,বানাইতে,bɐnɐ͡ɪ̯t̪e,বানাইয়া,bɐnɐ͡ɪ̯ʲɐ,তৈরি,t̪o͡ɪ̯ɾɪ,কইরতাম,kɪɾot̪ɐm,তৈরি,t̪o͡ɪ̯ɾɪ,Developed,,
তোলতে,t̪ol̪t̪e,তোলতে,t̪olt̪e,তুলতে,t̪ult̪e,তুলতে,t̪ult̪e,ত্যুইলতে,t̪ɛ͡ɪ̯lt̪e,তুলিত,t̪ulɪt̪o,To raise,,
তোলার,t̪ol̪arɔ,তোলার,t̪olɐɾ,তোলার,t̪olɐɾ,তুলনের,t̪uloneɾ,তুইলবার,t̪u͡ɪ̯lbɐɾ,তোলার,t̪olɐɾ,Raising,,
থাকতে,t̪ʰakt̪e,থাকতে,t̪ʰɐkt̪e,থাকতে,t̪ʰɐkt̪e,থাকতে,t̪ʰɐkt̪e,লগে,lɔge,চাই,cɐ͡ɪ̯,In place,,
থাকাকালীন,t̪ʰakakal̪in̪ɔ,থাহাকালিন,t̪ʰɐhɐkɐlɪn,ইয়ারো,ɪʲɐɾo,থাকাকালীন,t̪ʰɐkɐkɐlɪn,থাকাকালীন,t̪ʰɐkɐkɐlɪn,তাকিতেই,t̪ɐkɪt̪e͡ɪ̯,In the meantime,,
থানায়,t̪ʰan̪ae̯ɔ,থানায়,t̪ʰɐnɐe̯,থানাত,t̪ʰɐnɐt̪,থানায়,t̪ʰɐnɐe̯,থানায়,t̪ʰɐnɐe̯,থানাত,t̪ʰɐnɐt̪,In the police station,,
দখতে,d̪ɔkʰɔt̪e,দ্যাখতে,d̪ɛkʰot̪e,দেখছি,d̪ekʰcʰɪ,দখতে,d̪okʰt̪e,দেইখতে,d̪e͡ɪ̯kʰot̪e,দেক্কি,d̪ekkɪ,In the face of,,
দয়া,d̪e̯a,কইরা,ko͡ɪ̯ɾɐ,দয়া,d̪ɔʲɐ,দয়া,d̪ɔʲɐ,দয়াকরি,d̪ɔʲɐkɾɪ,দয়া,d̪ɔʲɐ,Kindness,,
দাঁড়াতে,d̪ɔ̃ɽat̪e,খাড়াইতে,kʰɐɽɐ͡ɪ̯t̪e,দাড়াইতাম,d̪ɐɽɐ͡ɪ̯t̪ɐm,খাড়াইতে,kʰɐɽɐ͡ɪ̯t̪e,খাড়াইতে,hɐ͡ɪ̯ɾot̪ɐn,দারাইন্নো,d̪ɐɾɐ͡ɪ̯nno,To stand up,,
দায়িত্ব,d̪ae̯it̪bɔ,দায়িত্ব,d̪ɐʲɪt̪t̪o,এর,eɾ,দায়িত্ব,d̪ɐʲɪt̪t̪o,দায়িত্ব,d̪ɐʲɪt̪t̪o,মতো,mɔt̪o,Responsibility,,
দায়িত্ববোধ,d̪ae̯it̪bɔbod̪̤ɔ,দায়িত্ববোধ,d̪ɐʲɪt̪t̪obod̪ʱ,দায়দায়িত্ব,d̪ɐʲd̪ɐʲɪt̪t̪o,দায়িত্ববোধ,d̪ɐʲɪt̪t̪obod̪ʱ,দায়িত্ববোধ,d̪ɐʲɪt̪t̪obod̪ʱ,আসে,ɐʃe,Attribute,,
দিচ্ছে,d̪it͡ɕt͡ɕʰe,লাপ,lɐp,দের,d̪eɾ,দিতাসে,d̪ɪt̪ɐʃe,দেএর,d̪e͡e̯ɾ,আঁরো,ɐ̃ɾo,Giving,,
দিত,d̪it̪,দেতে,d̪et̪e,দিতো,d̪ɪt̪o,দিত,d̪ɪt̪o,দি্তো,d̪ɪt̪o,ডাহিতো,dɐhɪt̪o,Used,,
দু-টুকরো,d̪u-tukro,দুইটুকরা,d̪u͡ɪ̯tukɾɐ,ভাঙিয়া,bʱɐŋɪʲɐ,দুই-টুকরা,d̪u͡ɪ̯-tukɾɐ,দুই-টুকরা,-tukɾɐ,দুই,d̪u͡ɪ̯,Two-piece,,
দুইদিন,d̪uid̪in̪ɔ,দুজ্ঞাদিন,d̪uggɐd̪ɪn,দুইদিন,d̪u͡ɪ̯d̪ɪn,দুইদিন,d̪u͡ɪ̯d̪ɪn,হরে,hoɾe,দুইদিন,d̪u͡ɪ̯d̪ɪn,Two days,,
দুচোখ,d̪ut͡ɕokʰɔ,দুজ্ঞা,d̪uggɐ,দুই,d̪u͡ɪ̯,দুই,d̪u͡ɪ̯,দুই,d̪u͡ɪ̯,দুচোক,d̪ucok,Two -eyed,,
দুনিয়াতে,d̪un̪ie̯at̪e,দুনিয়ায়,d̪unɪʲɐe̯,দুনিয়াত,d̪unɪʲɐt̪,দুনিয়াতে,ɐbbɐ,দুনিয়াত,d̪unɪʲɐt̪,দুনিয়াত,d̪unɪʲɐt̪,In the world,,
দুপাড়ের,d̪upaɽerɔ,দুইধারের,d̪u͡ɪ̯d̪ʱɐɾeɾ,দুই,d̪u͡ɪ̯,দুপাড়ের,d̪upɐɽeɾ,দুই,d̪u͡ɪ̯,দুই,d̪u͡ɪ̯,Two -legged,,
দুপুরে,d̪upure,দুফুরে,d̪upʰuɾe,দুপুরে,d̪upuɾe,দুফুরে,d̪upʰuɾe,খুব,kʰub,দুইজ্জা,d̪u͡ɪ̯zzɐ,At noon,,
দৃষ্টিভঙ্গি,d̪ɽiʂtib̤ɔŋɡi,দৃষ্টিভঙ্গি,d̪ɾɪʃtɪbʱɔŋgɪ,চউখ,cɔ͡u̯x,দৃষ্টিভঙ্গি,d̪ɾɪʃtɪbʱɔŋgɪ,দৃষ্টিভঙ্গি,d̪ɾɪʃtɪbʱɔŋgɪ,চুক,cuk,Outlook,,
দেই,d̪ei,দেতেয়াছি,d̪et̪eʲɐcʰɪ,দেই,d̪e͡ɪ̯,দেই,d̪e͡ɪ̯,দেই,d̪e͡ɪ̯,দিয়ির,d̪ɪʲɪɾ,Dei,,
দেওয়াতেই,d̪eoe̯at̪ei,দেওনেই,d̪e͡o̯ne͡ɪ̯,দেওয়াতেই,d̪e͡o̯ʲɐt̪e͡ɪ̯,দেওয়াতেই,d̪e͡o̯ʷɐt̪e͡ɪ̯,দিতেই,d̪ɪt̪e͡ɪ̯,দিতাম,d̪ɪt̪ɐm,In the way,,
দেখছিলাম,d̪ekʰt͡ɕʰil̪am,দ্যাখতেয়াছেলাম,d̪ɛkʰt̪eʲɐcʰelɐm,দেখাত,d̪ɛkʰɐt̪,দেখতাসিলাম,d̪ekʰt̪ɐʃɪlɐm,দেইকতাছিলাম,d̪e͡ɪ̯kɔt̪ɐcʰɪlɐm,দেইক্কিলাম,d̪e͡ɪ̯kkɪlɐm,Was watching,,
দেখছিলাম,d̪ekʰt͡ɕʰil̪amɔ,দেখতেয়াছিলাম,d̪ekʰt̪eʲɐcʰɪlɐm,দেখছিলাম,d̪ekʰcʰɪlɐm,দেখতাসিলাম,d̪ekʰt̪ɐʃɪlɐm,দেখসিলাম,d̪ekʰsɪlɐm,খেলাহাইতাম,xelɐhɐ͡ɪ̯t̪ɐm,Was watching,,
দেখছেন,d̪ekʰt͡ɕʰen̪ɔ,দেখছেন,d̪ekʰcʰen,দেখিয়ার,d̪ekʰɪʲɐɾ,দেখছেন,d̪ekʰcʰen,দেখসেন,d̪ekʰʃen,দেহন,d̪ehon,Watching,,
দেখবো,d̪ekʰbo,দেখমু,d̪ekʰmu,দেখমু,d̪ekʰmu,দেখবো,nɐ,দেইয়ুম,d̪e͡ɪ̯ʲum,চাইয়্যুম,cɐ͡ɪ̯ʲ,I will see,,
দেখল,d̪ekʰɔl̪ɔ,দেখলো,d̪ekʰlo,দেখলা,d̪ekʰlɐ,দেখল,d̪ɛkʰɔl,ছাইলো,cʰɐ͡ɪ̯lo,দেইক্কে,d̪e͡ɪ̯kke,Looked,,
দেখিনি,d̪ekʰin̪i,দেহিনাই,d̪ehɪnɐ͡ɪ̯,দেখছি,d̪ekʰcʰɪ,দেহি,d̪ehɪ,দেইনো,d̪e͡ɪ̯no,দেহি,d̪ehɪ,Did not see,,
দেখেনি,d̪ekʰen̪i,দেহেনাই,d̪ehenɐ͡ɪ̯,পাওয়ার,pɐ͡o̯ʷɐɾ,দেখে,d̪ekʰe,দেখেনো,d̪ɛkʰeno,চোকে,coke,Not seen,,
দেড়,d̪eɽɔ,দ্যাড়,d̪ɛɽ,দেড়,d̪eɽ,দেড়,d̪eɽ,দেড়,d̪eɽ,দেড়,d̪eɽ,One and a half,,
দেড়ি,d̪eɽi,দেড়ি,d̪eɽɪ,দেরি,d̪eɾɪ,দেড়ি,d̪eɽɪ,দেড়ি,d̪eɽɪ,দেড়ি,d̪eɽɪ,One and a half,,
দেয়ালে,d̪ee̯al̪e,দেয়ালে,d̪eʲɐle,দেওয়ালো,d̪e͡o̯ʷɐlo,দেয়ালে,d̪eʲɐle,দেয়ালে,d̪eʲɐle,দেয়ালত,d̪eʲɐlɔt̪o,On the wall,,
দোকানে,d̪okan̪e,দোকানে,d̪okɐne,দোখানো,d̪okʰɐno,দোকানে,d̪okɐne,বই,bo͡ɪ̯,দোয়ান,d̪oʲɐn,In the shop,,
দোষ?,d̪oʂɔ?,দোষ?,d̪oʃ?,কুন,kun,দোষ?,d̪oʃ?,কোনাই,konɐ͡ɪ̯,আন,ɐn,The fault?,,
দয়া,d̪e̯a,দয়া,d̪ɔʲɐ,দয়া,d̪ɔʲɐ,দয়া,ko͡ɪ̯ɾɐ,আরে,ɐɾe,দয়া,d̪ɔʲɐ,Kindness,,
ধন্যবাদ,d̪̤ɔn̪d͡zɔbad̪ɔ,ধন্যবাদ,d̪ʱonnobɐd̪,ধন্যবাদ,d̪ʱonnobɐd̪,ধন্যবাদ,d̪ʱonnobɐd̪,ধন্যবাদ,d̪ʱonnobɐd̪,দইন্যবাদ,d̪o͡ɪ̯nnobɐd̪,Thank you,,
ধরেই,d̪̤ɔrei,ধইররাই,d̪ʱo͡ɪ̯ɾɾɐ͡ɪ̯,সন্দেহজনক,ʃɔnd̪ehoɟɔnok,ধইরাই,d̪ʱo͡ɪ̯ɾɐ͡ɪ̯,ধরি,d̪ʱoɾɪ,সন্দেহজনক,ʃɔnd̪ehozɔnok,In the meantime,,
ধানখেত,d̪̤an̪kʰet̪ɔ,কোলা,kolɐ,ধানক্ষেত,d̪ʱɐnkkʰet̪,ধানখেত,d̪ʱɐnkʰet̪,ধানখেত,d̪ʱɐnxet̪,ধানকেত,d̪ʱɐnket̪o,Paddy field,,
ধুতি,d̪̤ut̪i,পরতে,poɾt̪e,ধুতি,d̪ʱut̪ɪ,ধুতি,d̪ʱut̪ɪ,হইরতো,hɪɾot̪o,ফইত্তো,fo͡ɪ̯t̪t̪o,Dhoti,,
নাচতে,n̪at͡ɕt̪e,নাচতে,nɐct̪e,নাচতে,nɐct̪e,নাচতে,nɐct̪e,নাইচতো,nɐ͡ɪ̯cɔt̪o,নাচিত,nɐcɪt̪o,Dancing,,
নাচবা?,n̪at͡ɕba?,নাচবা?,nɐcbɐ?,নাচবায়,nɐcbɐe̯,নাচবা?,nɐcbɐ?,নাইচবা?,nɐ͡ɪ̯cbɐ?,নাচিবা,nɐcɪbɐ,Dance?,,
নাচবো,n̪at͡ɕbo,নাচমু,nɐcmu,ওর,oɾ,নাচবাম,nɐcbɐm,নাচমু,nɐcmu,নাইচ্চুম,nɐ͡ɪ̯ccum,Dancing,,
নানাকে,n̪an̪ake,নানারে,nɐnɐɾe,নানারে,nɐnɐɾe,নানাকে,nɐnɐke,নানারে,nɐnɐɾe,নানারে,nɐnɐɾe,Differently,,
নামতো,n̪amt̪o,না,nɐ,খানি,kʰɐnɪ,নামতো,nɐmt̪o,খাবার,kʰɐbɐɾ,নামিতো,nɐmɪt̪o,In the name of,,
নামে,n̪ame,নামে,nɐme,নামে,nɐme,লেইখখা,le͡ɪ̯kʰkʰɐ,নামি,nɐmɪ,মশার,mɔʃɐɾ,In the name of,,
নারিকেল,n̪arikel̪ɔ,নাহোইল,nɐho͡ɪ̯l,নাইকলের,nɐ͡ɪ̯kɔleɾ,নাইরকেল,nɐ͡ɪ̯ɾkel,নাইরকেলের,nɐ͡ɪ̯ɾkeleɾ,নাইরকেলর,nɐ͡ɪ̯ɾkelɔɾ,Coconut,,
নিউজিল্যান্ড,n̪iud͡ʑil̪d͡zan̪dɔ,নিউজিল্যান্ড,nɪ͡u̯ɟɪlɛnd,নিউজিল্যান্ড,nɪ͡u̯ɟɪlɛnd,নিউজিল্যান্ড,nɪ͡u̯ɟɪlɛnd,নিউজিল্যান্ড,nɪ͡u̯ɟɪlɛnd,সহ,ʃɔho,New Zealand,,
নিজে,n̪id͡ʑe,নিজে,nɪɟe,নিজে,nɪɟe,নিজে,nɪɟe,নিজে,nɪɟe,নিজে,nɪze,By one's own,,
নিজেই,n̪id͡ʑei,কারো,kɐɾo,নিজেউ,nɪɟe͡u̯,নিজেই,nɪɟe͡ɪ̯,নিজেই,nɪɟe͡ɪ̯,নিজেই,nɪze͡ɪ̯,In one's own,,
নিজেকে,n̪id͡ʑeke,নিজেরে,nɪɟeɾe,নিজরে,nɪɟɔɾe,নিজেরে,nɪɟeɾe,নিজেরে,nɪɟeɾe,গরিয়েরে,goɾɪʲeɾe,Himself,,
নিজেকেই,n̪id͡ʑekei,নিজেরেই,nɪɟeɾe͡ɪ̯,নিজোরেউ,nɪzoɾe͡u̯,নিজেরেই,nɪɟeɾe͡ɪ̯,নিজেরেই,nɪɟeɾe͡ɪ̯,আর,ɐɾ,By themselves,,
নিজেদের,n̪id͡ʑed̪erɔ,সময়ডা,ʃɔmɔʲdɐ,সময়টারে,ʃɔmɔʲtɐɾe,নিজেরার,nɪɟeɾɐɾ,সময়,ʃɔmɔe̯,সময়্যান,ʃɔmoʲɛn,Themselves,,
নিজেরে,n̪id͡ʑere,লইয়া,lɔ͡ɪ̯ʲɐ,নিজরটা,nɪɟɔɾtɐ,নিজেরে,nɪɟeɾe,লই,lɔ͡ɪ̯,লই,gɔɾ,In itself,,
নিতে,n̪it̪e,নেতে,net̪e,নিতে,nɪt̪e,নিতে,nɪt̪e,নন,nɔn,লইত,lɔ͡ɪ̯t̪o,To take,,
নিবে?,n̪ibe?,নেবে?,nebe?,মানিয়া,mɐnɪʲɐ,নিব?,nɪbo?,লইব,lɔ͡ɪ̯b,লইব,lɔ͡ɪ̯b,Will you,,
নিশ্চিত,n̪iɕt͡ɕit̪ɔ,শিউর,ʃɪ͡u̯ɾ,শিওর,ʃɪ͡o̯ɾ,নিশ্চিত,nɪʃcɪt̪o,নিশ্চিত,nɪʃcɪt̪o,ব্যফারত,bɛpʰɐɾt̪o,Guaranteed,,
নেশায়,n̪eɕae̯ɔ,নেশায়,neʃɐe̯,আগে,ɐge,নেশায়,neʃɐe̯,নেশায়,neʃɐe̯,আগত,ɐgɔt̪o,Intoxicated,,
পছন্দে,pɔt͡ɕʰɔn̪d̪e,পছন্দে,pɔcʰond̪e,পছন্দে,pɔcʰond̪e,পসন্দে,pɔʃond̪e,হছন্দে,hɔcʰond̪e,ফরিবারর,fɔʃond̪o,Preference,,
পথে,pɔt̪ʰe,দিক,d̪ɪk,সামনে,ʃɐmne,পথে,pɔt̪ʰe,শুরু,ʃuɾu,ফতঅত,fɔt̪o͡ɔ̯t̪o,On the way,,
পরবর্তীতে,pɔrɔbɔrt̪it̪e,পরে,pɔɾe,তে,t̪e,পরে,pɔɾe,হরে,hoɾe,তারফরে,t̪ɐɾfɔɾe,Afterwards,,
পরস্পরকে,pɔrɔs̪pɔrɔke,নিজেগো,nɪɟego,মানে,mɐne,একজন,ɛkɟon,এজ্ঞা,eggɐ,একজন,ɛkɟon,Each other,,
পরিক্ষায়,pɔrikʂae̯ɔ,পরিক্ষায়,poɾɪkkʰɐe̯,পরিক্ষায়,poɾɪkkʰɐe̯,পরিক্ষায়,poɾɪkkʰɐe̯,হরিক্ষায়,hoɾɪkkʰɐe̯,ফরিক্ষাত,foɾɪkxɐt̪o,In the examination,,
পরিবারে,pɔribare,পরিবারে,poɾɪbɐɾe,ফরিবার,pʰoɾɪbɐɾ,পরিবারে,poɾɪbɐɾe,হরিবারে,hoɾɪbɐɾe,ফরিবার,foɾɪbɐɾ,In the family,,
পরীক্ষা,pɔrikʂa,পরীক্ষা,poɾɪkkʰɐ,পরীক্ষা,poɾɪkkʰɐ,পরীক্ষা,poɾɪkkʰɐ,হরিক্ষা,hoɾɪkkʰɐ,ফরিক্কা,foɾɪkkɐ,Examination,,
পর্যাপ্ত,pɔrd͡zapt̪ɔ,কামে,kɐme,সময়,d̪ɪt̪ɐm,পর্যাপ্ত,poɾɟɐpt̪o,পর্যাপ্ত,poɾɟɐpt̪o,টিক,tɪk,Adequate,,
পর্যায়ে,pɔrd͡zae̯e,কালে,kɐle,পর্যায়ে,poɾɟɐʲe,পর্যায়ে,poɾɟɐʲe,হর্যায়,hoɾɟɐe̯,ফর্যায়ে,fɔɾzɐʲe,At the stage,,
পাই?,pai?,কষ্ট,koʃto,কষ্ট,koʃto,পাই?,pɐ͡ɪ̯?,হাই,hɐ͡ɪ̯,ফাই?,fɐ͡ɪ̯?,Pi?,,
পাগল,paɡɔl̪ɔ,কইয়া,ko͡ɪ̯ʲɐ,পাগল,pɐgolo,পাগল,pɐgolo,কই,ko͡ɪ̯,ফঅল,fɔ͡ɔ̯l,Crazy,,
পাচ্ছে,pat͡ɕt͡ɕʰe,পাইতেয়াছে,pɐ͡ɪ̯t̪eʲɐcʰe,না,nɐ,পাইতাসে,pɐ͡ɪ̯t̪ɐʃe,হার,hɐɾ,ডারার,dɐɾɐɾ,Getting,,
পাচ্ছেন,pat͡ɕt͡ɕʰen̪ɔ,পাইতেয়াছেন,pɐ͡ɪ̯t̪eʲɐcʰen,পাইড়া,pɐ͡ɪ̯ɽɐ,পাইতসেন,pɐ͡ɪ̯t̪ʃen,হাইতেছেন,hɐ͡ɪ̯t̪ecʰen,ফাইতে,fɐ͡ɪ̯t̪e,Getting,,
পাচ্ছেন?,pat͡ɕt͡ɕʰen̪ɔ?,পারতেয়াছেন?,pɐɾt̪eʲɐcʰen?,নি?,nɪ?,পাইতাসেন?,pɐ͡ɪ̯t̪ɐʃen?,হারেন,hɐɾen?,ফারন,pʰɐɾon,Get it,,
পাতিল,pat̪il̪ɔ,পাইলা,pɐ͡ɪ̯lɐ,ফাতিল,pʰɐt̪ɪl,পাতিল,pɐt̪ɪl,হাতিলগুন,hɐt̪ɪlgun,ফাতিল,pʰɐt̪ɪl,Dilapid,,
পাত্রটি,pat̪rɔti,পাইলাডা,pɐ͡ɪ̯lɐdɐ,ফাত্রটি,pʰɐt̪ɾotɪ,পাত্রটা,pɐt̪ɾotɐ,পাত্রগা,pɐt̪ɾogɐ,বাডি,bɐdɪ,Vessel,,
পাবে,pabe,পাবা,pɐbɐ,নায়,nɐe̯,পাইবা,pɐ͡ɪ̯bɐ,দেইকতে,d̪e͡ɪ̯kɔt̪e,ন,d̪ekɪbɐ,Receiving,,
পাবেন,paben̪,পাইবেন,pɐ͡ɪ̯ben,ফারবা,pʰɐɾbɐ,পারবেন,pɐɾben,গরে,goɾe,দেখিত্তারিবান,d̪exɪt̪t̪ɐɾɪbɐn,Receiving,,
পাবেন,paben̪ɔ,পাইবেন,pɐ͡ɪ̯ben,দেখতাম,d̪ekʰt̪ɐm,ফাইবেন,pʰɐ͡ɪ̯ben,কোনো,kono,তারও,t̪ɐɾo,Receiving,,
পারবি?,parbi?,পারবি?,pɐɾbɪ?,ফারবে,pʰɐɾbe,পারবি?,pɐɾbɪ?,হ্যাইরবি?,hɛ͡ɪ̯ɾobɪ?,ফারিবি,fɐɾɪbɪ,Can you,,
পারবে?,parbe?,পারবা?,pɐɾbɐ?,পারবা,pɐɾbɐ,পারব?,pɐɾbo?,দিতা,d̪ɪt̪ɐ,আইত,ɐ͡ɪ̯t̪o,Can you,,
পারবেন?,parben̪ɔ?,পারবেন?,pɐɾben?,ফারবা,pʰɐɾbɐ,ফারবাইন?,pʰɐɾbɐ͡ɪ̯n?,হ্যাইরবেন?,hɛ͡ɪ̯ɾben?,ফারিবান,fɐɾɪbɐn,Can you,,
পারবো,parbo,পারমু,pɐɾmu,পারবো,pɐɾbo,বুঝাইতে,buɟʱɐ͡ɪ̯t̪e,হাইত্তান্নো,hɐ͡ɪ̯t̪t̪ɐnno,ন,nɔ,I can,,
পারলাম,parl̪amɔ,পারলাম,pɐɾlɐm,ফারলাম,pʰɐɾlɐm,পারলাম,pɐɾlɐm,নো,no,নোফাইল্লাম,nofɐ͡ɪ̯llɐm,I could,,
পারি?,pari?,পারি?,pɐɾɪ?,পারি,pɐɾɪ,পারি?,pɐɾɪ?,হারি?,hɐɾɪ?,ফারি?,fɐɾɪ?,Can I,,
পারুলও,parul̪o,পারুলও,pɐɾulo,পারুল,pɐɾul,পারলও,pɐɾlo,হারুলও,hɐɾulo,ফারুলও,fɐɾulo,Parul also,,
পারেন?,paren̪ɔ?,পারেন?,pɐɾen?,ফারবা,pʰɐɾbɐ,ফারেন?,pʰɐɾen?,হাইরবেন,hɐ͡ɪ̯ɾben?,ফারিবান,fɐɾɪbɐn,Can you,,
পারেননি,paren̪n̪i,পারে,pɐɾe,ফারছিলা,pʰɐɾcʰɪlɐ,পারে,pɐɾe,হারেনো,hɐɾeno,নো,no,Could not,,
পারো?,paro?,পারো?,pɐɾo?,ফারো,pʰɐɾo,ফারো?,pʰɐɾo?,হারিস,hɐɾɪs?,ফারো?,fɐɾo?,Can you,,
পার্কে,parke,পার্কে,pɐɾke,পার্কে,pɐɾke,পার্কে,pɐɾke,পার্কে,pɐɾke,ফার্কত,pʰɐɾkɔt̪o,In the park,,
পালিয়ে,pal̪ie̯e,পলাইয়া,pɔlɐ͡ɪ̯ʲɐ,ভাগি,bʱɐgɪ,পলায়া,pɔlɐʲɐ,হালাই,hɐlɐ͡ɪ̯,দাই,d̪ɐ͡ɪ̯,Escaped,,
পাল্লা,pal̪l̪a,ভালোবাসার,pɐlɐ-po͡ɪ̯ɾɐn,ফাইয়া,pʰɐ͡ɪ̯ʲɐ,পাল্লা,pɐllɐ,পাল্লা,pɐllɐ,ভারী,vɐ,Following,,
পাশাপাশি,paɕapaɕi,একলগে,ɛklgk,কান্দাকান্দিত,kɐnd̪ɐkɐnd̪ɪt̪o,পাশাপাশি,pɐʃɐpɐʃɪ,বসি,boʃɪ,পাশাপাশি,pɐʃɐpɐʃɪ,As well as,,
পুতুলগুলো,put̪ul̪ɡul̪o,পুতুলগুলা,put̪ulgulɐ,পুতুলগুইন,put̪ulgu͡ɪ̯n,পুতুলগুলা,put̪ulgulɐ,হুতুলগিন,hut̪ulgɪn,ফুতুল্লুন,fut̪ullun,Puppet,,
পুতুলের,put̪ul̪erɔ,পুতুলের,put̪uleɾ,পুতুল,put̪ul,পুতুলের,put̪uleɾ,হুতুলের,hut̪uleɾ,পুতুলর,put̪ulɔɾ,Puppet,,
পুলিশকে,pul̪iɕke,পুলিশরে,pulɪʃɾe,পুলিশরে,pulɪʃɾe,পুলিশরে,pulɪʃɾe,হুলিশরে,hulɪʃɾe,ফুলিশেরো,fulɪʃeɾo,To the police,,
পৃথিবীতে,pɽit̪ʰibit̪e,পিরথিবিতে,pɪɾot̪ʰɪbɪt̪e,পৃথিবীতে,pɾɪt̪ʰɪbɪt̪e,দুনিয়াতে,d̪unɪʲɐt̪e,এই,e͡ɪ̯,দুনিয়াত,d̪unɪʲɐt̪,In the world,,
পেয়ারা,pee̯ara,হোবরি,hoboɾɪ,খরি,xoɾɪ,পেয়ারা,ko͡ɪ̯ɾɐ,হেয়ারা,heʲɐɾɐ,ফেয়ারা,feʲɐɾɐ,Guava,,
পেয়ে,pee̯e,যায়,ɟɐe̯,গেছিল,gecʰɪlo,পায়া,pɐʲɐ,যায়,ɟɐe̯,ফাইয়ে,fɐ͡ɪ̯ʲe,Receiving,,
পেয়ারা,pee̯ara,হোবরি,hoboɾɪ,সফরি,ʃɔpʰoɾɪ,পেয়ারা,peʲɐɾɐ,গম,gɔm,ফেয়ারা,feʲɐɾɐ,Guava,,
পেয়ে,pee̯e,পাইয়া,pɐ͡ɪ̯ʲɐ,জনরে,ɟɔnoɾe,পায়া,pɐʲɐ,হাই,hɐ͡ɪ̯,নিজেরে,nɪzeɾe,Receiving,,
প্রতিদিন,prɔt̪id̪in̪ɔ,পেরতেকদিন,peɾt̪ekd̪ɪn,ফতিদিন,pʰot̪ɪd̪ɪn,প্রত্যেকদিন,pɾot̪t̪ekd̪ɪn,আই,ɐ͡ɪ̯,ফ্রতিদিন,fɾot̪ɪd̪ɪn,Everyday,,
প্রতিবারই,prɔt̪ibari,পেরতেকবার,peɾt̪ekbɐɾ,ফত্তেকবার,pʰot̪t̪ekbɐɾ,প্রতিবারই,pɾot̪ɪbɐɾɪ,হতিবার,hot̪ɪbɐɾ,ফ্রতিবারই,fɾot̪ɪbɐɾɪ,Every time,,
প্রত্যেকের,prɔt̪d͡zekerɔ,পেরতেকের,peɾt̪ekeɾ,সবের,ʃɔbeɾ,বেহের,beheɾ,বেকের,bekeɾ,বেগ্গুনুরতুন,beggunuɾt̪un,Everyone,,
প্রথমদিকে,prɔt̪ʰɔmɔd̪ike,পোরথোমদিক,ɐmoneɾe,ফতম,pʰɔt̪om,প্রথমদিকে,pɾot̪ʰomod̪ɪke,প্রথম,pɾot̪ʰom,ফ্রতম,pʰɾot̪ɔmo,At first,,
প্রধানমন্ত্রী,prɔd̪̤an̪ɔmɔn̪t̪ri,পরধানমন্ত্রীর,pɔɾd̪ʱɐnmont̪ɾɪɾ,ওখনকুর,oxonkuɾ,প্রধানমন্ত্রী,pɾod̪ʱɐnmont̪ɾɪ,বর্তমান,bɔɾt̪omɐn,ফ্রদানমন্ত্রি,fɾod̪ɐnmont̪ɾɪ,Prime minister,,
প্রধানমন্ত্রীর,prɔd̪̤an̪ɔmɔn̪t̪rirɔ,পরধানমন্ত্রীর,kɪ?,ওর,oɾ,প্রধানমন্ত্রীর,pɾod̪ʱɐnmont̪ɾɪɾ,এর,eɾ,ফ্রদানমন্ত্রির,pʰɾod̪ɐnmont̪ɾɪɾ,Prime Minister,,
প্রফেশনাল,prɔɸeɕn̪al̪ɔ,প্রফেশনাল,pɾopʰeʃonɐl,প্রফেশনাল,pɾopʰeʃonɐl,প্রফেশনাল,pɾopʰeʃonɐl,প্রফেশনাল,pɾopʰeʃonɐl,ফ্রফেশনাল,fɾofeʃonɐl,Professional,,
প্রশান্ত,prɔɕan̪t̪ɔ,প্রশান্ত,pɾoʃɐnt̪o,প্রশান,pɾoʃɐn,প্রশান্ত,pɾoʃɐnt̪o,হশান্ত,hɔʃɐnt̪o,প্রশান্ত,pɾoʃɐnt̪o,Pebble,,
প্রশ্ন,prɔɕn̪ɔ,প্রোশ্নো,pɾosno,জিকানির,ɟɪkɐnɪɾ,প্রশ্ন,pɾosno,প্রশ্ন,pɾosno,হনো,hono,Question,,
