bangla_speech,combined,ipa_output
চলো বিশ্রাম নেয়া যাক,Mymensingh চল বিশ্রাম নেওয়ন যাক,menʃɪn cɔl bɪsɾɐm ne͡o̯ʲon zɐk
আমি কি দয়া করে এখানে আসতে পারি?,Mymensingh আমি কি দয়া কইরা এইহানে আইতে পারি?,mɔʲenʃɔn ɐmɪ kɪ d̪ɔʲɐ ko͡ɪ̯ɾɐ e͡ɪ̯hɐne ɐ͡ɪ̯t̪e pɐɾɪ?
"যেহেতু সবাই এখানে আছে, আমাদের শুরু করা উচিত এখন","Mymensingh যেহেতু সবাই এইহানে আসে, আমারার শুরু করা উচিত এহন","mɔʲensɪng ɟehet̪u ʃɔbɐ͡ɪ̯ e͡ɪ̯hɐne ɐʃe, ɐmɐɾɐɾ ʃuɾu kɔɾɐ ucɪt̪ ehon"
আমরা এখানে আছি আলোচনা করার জন্য,Mymensingh আমরা এইহানে আসি আলোচনা করার লাইজ্ঞা,mɔnoʃɪn ɐmɾɐ e͡ɪ̯hɐne ɐʃɪ ɐlocɔnɐ kɔɾɐɾ lɐ͡ɪ̯ggɐ
আমরা এখানে আজ উপস্থিত আছি কথা বলার জন্য,Mymensingh আমরা এইহানে আইজ উপস্থিত আসি কথা বলার লাইজ্ঞা,mɔʲenosho ɐmɾɐ e͡ɪ̯hɐne ɐ͡ɪ̯ɟ upost̪ʰɪt̪ ɐʃɪ kɔt̪ʰɐ bɔlɐɾ lɐ͡ɪ̯ggɐ
আপনি কি বাংলা সিনেমা দেখতে ভালোবাসেন?,Mymensingh আফনেরা কি বাংলা সিনেমা দেখতে ভালবাসেন?,menʃɔn ɐpʰoneɾɐ kɪ bɐŋlɐ sɪnemɐ d̪ekʰt̪e bʱɐlbɐʃen?
আমি আপনাকে ধন্যবাদ জানাতে চাই,Mymensingh আমি আফনেরে ধন্যবাদ জানাইতাম চাই,menʃɪn ɐmɪ ɐpʰoneɾe d̪ʱonnobɐd̪ ɟɐnɐ͡ɪ̯t̪ɐm cɐ͡ɪ̯
আপনার জন্মদিন কবে?,Mymensingh আফনের জন্মদিন কবে?,mɔpʰoneɾ ɟɔnmod̪ɪn kɔbe?
আপনি কি এখানে থাকতে পারেন?,Mymensingh আফনে কি এইহানে থাকতে ফারেন?,menoʃɪn ɐcʰone kɪ e͡ɪ̯hɐne t̪ʰɐkt̪e pʰɐɾen?
আপনি কি কথা বলতে পারেন ইংরেজিতে?,Mymensingh আফনে কি কথা কইতে ফারেন ইংরেজিতে?,menoʃɪn ɐcʰone kɪ kɔt̪ʰɐ ko͡ɪ̯t̪e pʰɐɾen ɪŋɾeɟɪt̪e?
আপনি কি এই প্রশ্নের জবাব দিতে পারবেন?,Mymensingh আফনে কি এই প্রশ্নের জবাব দিতে ফারবাইন?,menʃɪn ɐcʰone kɪ e͡ɪ̯ pɾosneɾ ɟɔbɐb d̪ɪt̪e pʰɐɾbɐ͡ɪ̯n?
আমি আপনার জন্য অপেক্ষা করছি,Mymensingh আমি আফনের লাইজ্ঞা অপেক্ষা করতাসি, menʃɔn ɐmɪ ɐpʰoneɾ lɐ͡ɪ̯ggɐ ɔpekkʰɐ koɾt̪ɐʃɪ
আপনি কি বাংলা নাটক দেখতে পারেন?,Mymensingh আফনে কি বাংলা নাটক দেখতে পারেন?,menʃɪn ɐcʰone kɪ bɐŋlɐ nɐtok d̪ekʰt̪e pɐɾen?
আপনি কি কোনো কবিতা লিখতে পারেন?,Mymensingh আফনে কি কুনো কবিতা লিখতে পারেন?,menʃɪn ɐcʰone kɪ kuno kobɪt̪ɐ lɪkʰt̪e pɐɾen?
আপনি কি এই বইটি পড়তে পারেন?,Mymensingh আফনে কি এই বইডা পড়তে পারেন?,mɔnoʃɪn ɐcʰone kɪ e͡ɪ̯ bo͡ɪ̯dɐ pɔɽt̪e pɐɾen?
আপনি কি কোনো গানে নাচতে পারেন?,Mymensingh আফনে কি কুনো গানে নাচতে পারেন?,menʃɪn ɐcʰone kɪ kuno gɐne nɐct̪e pɐɾen?
তুই কি এই বইটি পড়তে পারিস?,Mymensingh তুইন কিতা এই বইডা পড়তে হারস?,mɔnoʃɪn t̪u͡ɪ̯n kɪt̪ɐ e͡ɪ̯ bo͡ɪ̯dɐ pɔɽt̪e hɐɾʃ?
তুই আমার সঙ্গে একটি গান গাইতে  পারবি?,Mymensingh তুই আমার সাথে একটা গান গাইতে পারবি?,menoʃɪn t̪u͡ɪ̯ ɐmɐɾ ʃɐt̪ʰe ɛktɐ gɐn gɐ͡ɪ̯t̪e pɐɾbɪ?
তুই আমার পাশে থাকতে চাস ?,Mymensingh তুই আমার লগে থাকতে চাস ?, mɔnoʃɪn t̪u͡ɪ̯ ɐmɐɾ lɔge t̪ʰɐkt̪e cɐʃ?
তুই কি এই সিনেমা দেখতে চাস ?,Mymensingh তুইন কিতা এই সিনেমা দেখতে চাস ?, mɔʲenos t̪u͡ɪ̯n kɪt̪ɐ e͡ɪ̯ sɪnemɐ d̪ekʰt̪e cɐʃ?
তুই আমার জন্য কী ভালোবাসতে পারবি?,Mymensingh তুইন আমার লাইজ্ঞা কী ভালোবাসতে পারবি?,menʃɪn t̪u͡ɪ̯n ɐmɐɾ lɐ͡ɪ̯ggɐ kɪ bʱɐlobɐʃt̪e pɐɾbɪ?
তুই কি কখনো বাংলাদেশে ঘুরতে গিয়েছিলি?,Mymensingh তুইন কিতা কহনো বাংলাদেশে ঘুরতে গেসিলি?,mɔʲensɪng t̪u͡ɪ̯n kɪt̪ɐ kɔhono bɐŋlɐd̪eʃe gʱuɾt̪e gesɪlɪ?
তুই আমার জন্য কোনো সুন্দর উপহার কিনতে পারবি?,Mymensingh তুইন আমার লাইজ্ঞা কুনো সুন্দর উফহার কিনতা পারবি?,menoʃɪn t̪u͡ɪ̯n ɐmɐɾ lɐ͡ɪ̯ggɐ kuno ʃund̪ɔɾ upʰhɐɾ kɪnt̪ɐ pɐɾbɪ?
তুই কি এই গানটি শুনতে ভালোবাসবি?,Mymensingh তুইন কিতা এই গানডা হুনতে ভালবাসবি?,mɔʲensɪn t̪u͡ɪ̯n kɪt̪ɐ e͡ɪ̯ gɐndɐ hunt̪e bʱɐlbɐʃobɪ?
তুই কি কখনো কবিতা লিখতে পারিস?,Mymensingh তুইন কিতা কহনো কবিতা লিখতে পারিস?,mɔʲenʃɪn t̪u͡ɪ̯n kɪt̪ɐ kɔhono kobɪt̪ɐ lɪkʰt̪e pɐɾɪs?
তুই আমার সঙ্গে কী ছবি তোলতে পারবি?,Mymensingh তুইন আমার লগে কী ছবি তুলতে ফারবি?,mɔnoʃɪn t̪u͡ɪ̯n ɐmɐɾ lɔge kɪ cʰobɪ t̪ult̪e pʰɐɾbɪ?
তুই আমার কাছে এসব কিছু শিখতে চাস ?,Mymensingh তুইন আমার কাসে এইতা কিসু শিখতে চাস ?, mɔʲenos t̪u͡ɪ̯n ɐmɐɾ kɐʃe e͡ɪ̯t̪ɐ kɪʃu ʃɪkʰt̪e cɐʃ?
তুই কি আমার জন্য কিছু লিখতে পারবি?,Mymensingh তুইন কিতা আমার লাইজ্ঞা কিসু লিখতে ফারবি?,menʃɪn t̪u͡ɪ̯n kɪt̪ɐ ɐmɐɾ lɐ͡ɪ̯ggɐ kɪʃu lɪkʰt̪e pʰɐɾbɪ?
তুই কি আমার সঙ্গে বাংলায় কথা বলতে পারবি?,Mymensingh তুইন কিতা আমার লগে বাংলায় কথা কইতে ফারবি?,menʃɪn t̪u͡ɪ̯n kɪt̪ɐ ɐmɐɾ lɔge bɐŋlɐe̯ kɔt̪ʰɐ ko͡ɪ̯t̪e pʰɐɾbɪ?
তুই কি এই স্কুলে পড়তে আসতে চাস ?,Mymensingh তুইন কিতা এই ইস্কুলে ফড়তে আইতে চাস ?,menʃɪn t̪u͡ɪ̯n kɪt̪ɐ e͡ɪ̯ ɪskule pʰɔɽt̪e ɐ͡ɪ̯t̪e cɐʃ?
রোনালদো ভালোবাসার চেয়েও বেশি কিছু,Mymensingh রোনালদো ভালবাসার চেয়েও বেশি কিসু,menʃɪn ɾonɐld̪o bʱɐlbɐʃɐɾ ceʲe͡o̯ beʃɪ kɪʃu
আমরা মেসিকে ঘৃণা করি না,Mymensingh আমরা মেসিরে ঘৃণা করি না,menoʃ ɐmɾɐ mesɪɾe gʱɾɪnɐ koɾɪ nɐ
আমি ফুটবলের বিশ্বকাপ দেখতে যাচ্ছি,Mymensingh আমি ফুটবলের বিশ্বকাপ দেখতাম যাইতাসি,menʃɔn ɐmɪ pʰutbɔleɾ bɪʃʃokɐp d̪ekʰt̪ɐm ɟɐ͡ɪ̯t̪ɐʃɪ
ফুটবল আমার প্রিয় খেলা,Mymensingh ফুটবল আমার প্রিয় খেলা,menʃɪn pʰutbɔl ɐmɐɾ pɾɪʲo kʰelɐ
আমি ফুটবল খেলতে ভালোবাসি,Mymensingh আমি ফুটবল খেলতাম ভালবাসি, mɔʲenosho ɐmɪ pʰutbɔl kʰelt̪ɐm bʱɐlbɐʃɪ
কলকাতা মোহনবাগানের ফুটবল দল অনেক জনপ্রিয়,Mymensingh কলকাতার মোহনবাগানের ফুটবল দল মেলা জনপ্রিয়,mɪnʃɪn kolkɐt̪ɐɾ mohonbɐgɐneɾ pʰutbɔl d̪ɔl mɛlɐ ɟɔnopɾɪʲo
আমি ফুটবল খেলতে আমার বন্ধুদের সঙ্গে যাচ্ছি,Mymensingh আমি ফুটবল খেলতাম আমার বন্ধুরার সাথে যাইতাসি, mɔʲensɪn ɐmɪ pʰutbɔl kʰelt̪ɐm ɐmɐɾ bond̪ʱuɾɐɾ ʃɐt̪ʰe ɟɐ͡ɪ̯t̪ɐʃɪ
আমার পছন্দের ফুটবল খেলোয়াড় লিওনেল মেসি,Mymensingh আমার পসন্দের ফুটবল খেলোয়াড় লিওনেল মেসি,menʃɪnho ɐmɐɾ pɔʃond̪eɾ pʰutbɔl kʰeloʷɐɽ lɪ͡o̯nel mesɪ
আমার বন্ধুরা সপ্তাহের মধ্যে দুইটি ফুটবল ম্যাচ খেলতে পারে,Mymensingh আমার বন্ধুরা সপ্তাহের মাঝে দুইডা ফুটবল ম্যাচ খেলতে পারে,mɪnʃɔn ɐmɐɾ bond̪ʱuɾɐ ʃɔpt̪ɐheɾ mɐɟʱe d̪u͡ɪ̯dɐ pʰutbɔl mɛc kʰelt̪e pɐɾe
আমি ফুটবল খেলার জন্য প্রস্তুত,Mymensingh আমি ফুটবল খেলার লাইজ্ঞা প্রস্তুত,mɔʲenʃɔn ɐmɪ pʰutbɔl kʰelɐɾ lɐ͡ɪ̯ggɐ pɾost̪ut̪
আমার পছন্দের ফুটবল দল আর্জেন্টিনা,Mymensingh আমার পসন্দের ফুটবল দল আর্জেন্টিনা,mɔʃɪnd̪eɾ pʰutbɔl d̪ɔl ɐɾɟentɪnɐ
ফুটবল ম্যাচে বিশ্বকাপ জয় করেছে ফ্রান্স,Mymensingh ফুটবল ম্যাচে বিশ্বকাপ জয় করসে ফ্রান্স,menʃɔn pʰutbɔl mɛce bɪʃʃokɐp ɟɔe̯ koɾʃe pʰɾɐnʃo
আমি ফুটবলে একটি গোল করেছি,Mymensingh আমি ফুটবলে একটা গোল করসি,menʃɪn ɐmɪ pʰutbɔle ɛktɐ gol koɾʃɪ
ফুটবল খেলা আমার জীবনের অংশ,Mymensingh ফুটবল খেলা আমার জীবনের অংশ,mɔʲensɪn pʰutbɔl kʰelɐ ɐmɐɾ ɟɪbɔneɾ ɔŋʃo
আমি প্রতিদিন ফুটবল খেলতে যাই,Mymensingh আমি প্রত্যেকদিন ফুটবল খেলতাম যাই, menʃɔn ɐmɪ pɾot̪t̪ekd̪ɪn pʰutbɔl kʰelt̪ɐm ɟɐ͡ɪ̯
বার্সেলোনা  ফুটবল ক্লাব খুব জনপ্রিয়,Mymensingh বার্সেলোনা ফুটবল ক্লাব মেলা জনপ্রিয়,mɔnoʃɪn bɐɾselonɐ pʰutbɔl klɐb mɛlɐ ɟɔnopɾɪʲo
আমি ফুটবল ম্যাচ দেখতে খুব ভালোবাসি,Mymensingh আমি ফুটবল ম্যাচ দেখতাম মেলা ভালবাসি,mɔʲenʃɔn ɐmɪ pʰutbɔl mɛc d̪ekʰt̪ɐm mɛlɐ bʱɐlbɐʃɪ
বাংলাদেশের জনপ্রিয় ফুটবলারগুলি অনেক উচ্চ মানের খেলোয়াড়,Mymensingh বাংলাদেশের জনপ্রিয় ফুটবলারগুলা মেলা উচা মানের খেলোয়াড়,mɪnʃɪnho bɐŋlɐd̪eʃeɾ ɟɔnopɾɪʲo pʰutbɔlɐɾgulɐ mɛlɐ ucɐ mɐneɾ kʰeloʷɐɽ
ফুটবল খেলার সময় আমি আনন্দ পাই,Mymensingh ফুটবল খেলার সময় আমি আনন্দ পাই,mɔʲenʃɔn pʰutbɔl kʰelɐɾ ʃɔmɔe̯ ɐmɪ ɐnond̪o pɐ͡ɪ̯
আমি ফুটবল ম্যাচগুলি দেখতে ভালোবাসি,Mymensingh আমি ফুটবল ম্যাচগুলা দেখতাম ভালবাসি,mɔʲensɪn ɐmɪ pʰutbɔl mɛcgulɐ d̪ekʰt̪ɐm bʱɐlbɐʃɪ
আমি ফুটবল ম্যাচে উপস্থিত হতে চাই,Mymensingh আমি ফুটবল ম্যাচে উপস্থিত হইতাম চাই,mɔʲensɪn ɐmɪ pʰutbɔl mɛce upost̪ʰɪt̪ ho͡ɪ̯t̪ɐm cɐ͡ɪ̯
ব্রাজিল ফুটবল দল বিশ্বসেরা,Mymensingh ব্রাজিল ফুটবল দল বিশ্বসেরা,mɔʃɪng bɾɐzɪl futbɔl d̪ɔl bɪʃʃoʃeɾɐ
আমি ব্রাজিল ফুটবল দলকে সমর্থন করি,Mymensingh আমি ব্রাজিল ফুটবল দলরে সমর্থন করি,menʃɔn ɐmɪ bɾɐɟɪl pʰutbɔl d̪ɔlɾe ʃɔmoɾt̪ʰɔn koɾɪ
ব্রাজিল ফুটবল দল একটি শক্তিশালী দল,Mymensingh ব্রাজিল ফুটবল দল একটা শক্তিশালী দল,menʃɔn bɾɐɟɪl pʰutbɔl d̪ɔl ɛktɐ ʃɔkt̪ɪʃɐlɪ d̪ɔl
ব্রাজিল ফুটবল দল বিশ্বকাপ চ্যাম্পিয়ন,Mymensingh ব্রাজিল ফুটবল দল বিশ্বকাপ চ্যাম্পিয়ন,menʃɔn bɾɐɟɪl pʰutbɔl d̪ɔl bɪʃʃokɐp cɛmpɪʲon
আমি আর্জেন্টিনা ফুটবল দলকে সমর্থন করি,Mymensingh আমি আর্জেন্টিনা ফুটবল দলরে সমর্থন করি,mɔʃɪn ɐmɪ ɐɾɟentɪnɐ pʰutbɔl d̪ɔlɾe ʃɔmoɾt̪ʰɔn koɾɪ
আমি বাংলাদেশ ক্রিকেট দলকে সমর্থন করি,Mymensingh আমি বাংলাদেশ ক্রিকেট দলরে সমর্থন করি,menoʃɔn ɐmɪ bɐŋlɐd̪eʃ kɾɪket d̪ɔlɾe ʃɔmoɾt̪ʰɔn koɾɪ
বাংলাদেশ ক্রিকেট দল শক্তিশালী দলের মধ্যে একটি,Mymensingh বাংলাদেশ ক্রিকেট দল শক্তিশালী দলের মধ্যে একটা,menʃɔn bɐŋlɐd̪eʃ kɾɪket d̪ɔl ʃɔkt̪ɪʃɐlɪ d̪ɔleɾ mod̪d̪ʱe ɛktɐ
মেঘনা নদী বাংলাদেশের একটি প্রধান নদী,Mymensingh মেঘনা নদী বাংলাদেশের একটা প্রধান নদী,megʱonɐ nod̪ɪ bɐŋlɐd̪eʃeɾ ɛktɐ pɾod̪ʱɐn nod̪ɪ
নীল নদী আফ্রিকার প্রধান নদীর একটি,Mymensingh নীল নদী আফ্রিকার প্রধান নদীর একটা,menʃɪn nɪl nod̪ɪ ɐpʰɾɪkɐɾ pɾod̪ʱɐn nod̪ɪɾ ɛktɐ
নীল আকাশের নিচে তোমার হাত ধরে হেঁটে যেতে  চাই,Mymensingh নীল আকাশের নিচে তোমার হাত ধরে হাইটটা যাইতাম চাই,mɔʲensɪn nɪl ɐkɐʃeɾ nɪce t̪omɐɾ hɐt̪ d̪ʱoɾe hɐ͡ɪ̯ttɐ ɟɐ͡ɪ̯t̪ɐm cɐ͡ɪ̯
তোমার সাথে নীল আকাশের নিচে বসে গল্প করতে চাই,Mymensingh তোমার সাথে নীল আকাশের নিচে বয়া গল্প করতাম চাই,menʃɪn t̪omɐɾ ʃɐt̪ʰe nɪl ɐkɐʃeɾ nɪce bɔʲɐ gɔlpo koɾt̪ɐm cɐ͡ɪ̯
আমাজন নদী দুনিয়ার সবচেয়ে বড় নদী হিসাবে পরিচিত,Mymensingh আমাজন নদী দুনিয়ার সবচেয়ে বড় নদী হিসাবে পরিচিত,menʃɪnh ɐmɐɟon nod̪ɪ d̪unɪʲɐɾ ʃɔbceʲe bɔɽo nod̪ɪ hɪʃɐbe poɾɪcɪt̪o
আকাশে তারাগুলি আমাদেরকে আশা দেয়,Mymensingh আকাশে তারাগুলা আমারারে আশা দেয়,menʃɪnho ɐkɐʃe t̪ɐɾɐgulɐ ɐmɐɾɐɾe ɐʃɐ d̪ee̯
আকাশে মেঘের কারণে বৃষ্টি পড়ে,Mymensingh আকাশে মেঘের কারণে বৃষ্টি ফড়ে,menosɪn ɐkɐʃe megʱeɾ kɐɾone bɾɪʃtɪ pʰɔɽe
মাছগুলি পানির মধ্যে সুন্দর,Mymensingh মাছগুলা ফানির মধ্যে সুন্দর,menʃɔn mɐcʰgulɐ pʰɐnɪɾ mod̪d̪ʱe ʃund̪ɔɾ
তুমি এখানে থাকলে আমি খুশি,Mymensingh তুমি এইহানে থাকলে আমি খুশি,mɔʲenosho t̪umɪ e͡ɪ̯hɐne t̪ʰɐkle ɐmɪ kʰuʃɪ
আমি সকালে ঘুমিয়ে উঠি,Mymensingh আমি সকালে ঘুমায়া উঠি,menʃɪnho ɐmɪ ʃɔkɐle gʱumɐʲɐ utʰɪ
আমার লাল রঙের গাড়িটি গতকাল চুরি হয়ে গেছে,Mymensingh আমার লাল রংগের গাড়িডা গতকালকে চুরি হয়া গেসে,mɔʲensɪng ɐmɐɾ lɐl ɾɔŋgeɾ gɐɽɪdɐ gɔt̪okɐlɔke cuɾɪ hɔʲɐ gese
আমার বাসায়  গতকাল রাতে চুরি হয়েছে,Mymensingh আমার বাসায় গতকালকে রাইতে চুরি হইসে,menʃɪn ɐmɐɾ bɐʃɐe̯ gɔt̪okɐloke ɾɐ͡ɪ̯t̪e cuɾɪ ho͡ɪ̯ʃe
আমার গাড়ির রঙ হলো লাল,Mymensingh আমার গাড়ির রঙ হইলো লাল,mɪnʃɪn ɐmɐɾ gɐɽɪɾ ɾɔŋ ho͡ɪ̯lo lɐl
সহজ ভাষায় কথা বলা উচিত,Mymensingh সহজ ভাষায় কথা কওন উচিত,menʃɪn ʃɔhoɟ bʱɐʃɐe̯ kɔt̪ʰɐ kɔ͡o̯n ucɪt̪
আমি আপনার সঙ্গে আছি,Mymensingh আমি আফনের লগে আসি,menʃɪnho ɐmɪ ɐpʰoneɾ lɔge ɐʃɪ
আমার আব্বু বিদেশে থাকে,Mymensingh আমার আব্বা বিদেশে থাহে,mɔʲensɪn ɐmɐɾ ɐbbɐ bɪd̪eʃe t̪ʰɐhe
আমার ছোটো ভাই দুই মাস পর বিদেশে পড়ালেখা করতে যাবে,Mymensingh আমার ছোডো ভাই দুই মাস বাদে বিদেশে পড়ালেহা করতে যাইব,mɪmɪng ɐmɐɾ cʰodo bʱɐ͡ɪ̯ d̪u͡ɪ̯ mɐʃ bɐd̪e bɪd̪eʃe pɔɽɐlehɐ koɾt̪e ɟɐ͡ɪ̯bo
আমার বড় বোন আমাকে অনেক ভালবাসে,Mymensingh আমার বড় বইন আমারে মেলা ভালবাসে,mɔʲensɪng ɐmɐɾ bɔɽo bo͡ɪ̯n ɐmɐɾe mɛlɐ bʱɐlbɐʃe
আমার বড় বোনকে আমি অনেক ভালবাসি,Mymensingh আমার বড় বোইনরে আমি অনেক ভালবাসি,mɔʲenʃɔn ɐmɐɾ bɔɽo boʲɔnoɾe ɐmɪ ɔnek bʱɐlbɐʃɪ
আপনার বড় বোনের কি বিয়ে হয়ে গেছে ?,Mymensingh আপনার বড় বোইনের কিতা বিয়া হয়া গেসে ?,mɔʲensɪn ɐpnɐɾ bɔɽo boʲɔneɾ kɪt̪ɐ bɪʲɐ hɔʲɐ gese?
তোর বড় ভাইয়ের নাম কি ?,Mymensingh তর বড় ভাইয়ের নাম কি ?,menʃɪng t̪ɔɾ bɔɽo bʱɐ͡ɪ̯ʲeɾ nɐm kɪ?
তোর বড় ভাইয়ের সাথে আমার বিয়ে হওয়ার  কথা চলতাসে,Mymensingh তর বড় ভাইয়ের লগে আমার বিয়া হওনের কথা চলতাসে,mɔnoʃɪng t̪ɔɾ bɔɽo bʱɐ͡ɪ̯ʲeɾ lɔge ɐmɐɾ bɪʲɐ honeɾ kɔt̪ʰɐ cɔlt̪ɐʃe
বিদেশে ঘুরতে যাওয়া আমার স্বপ্ন,Mymensingh বিদেশে ঘুরতে যাওয়ন আমার স্বপ্ন,mɔnoʃɪn bɪd̪eʃe gʱuɾt̪e ɟɐ͡o̯ʲon ɐmɐɾ ʃɔpno
আমি কখনই তোমাকে ভুলবো না,Mymensingh আমি কহনই তোমারে ভুলতাম না,menʃɪn ɐmɪ kɔhonɪ t̪omɐɾe bʱult̪ɐm nɐ
তুমি আমার জীবনের আলো,Mymensingh তুমি আমার জীবনের আলো,mɔʲensɪn t̪umɪ ɐmɐɾ ɟɪbɔneɾ ɐlo
সকালে পড়াশোনা করা ভালো উপায়,Mymensingh সকালে পড়াশুনা করা ভালা উপায়,menʃɪnho ʃɔkɐle pɔɽɐʃunɐ kɔɾɐ bʱɐlɐ upɐe̯
পরীক্ষার জন্য সকালে পড়াশোনা করা ভালো হয়,Mymensingh পরীক্ষার লাইজ্ঞা সহালে পড়াশুনা করা ভালা হয়,menʃɪng poɾɪkkʰɐɾ lɐ͡ɪ̯ggɐ ʃɔhɐle pɔɽɐʃunɐ kɔɾɐ bʱɐlɐ hɔe̯
সকালে পড়াশোনা করে প্রতিদিন শুরু করা ভালো হয়,Mymensingh সহালে পড়াশোনা কইরা প্রত্যেকদিন শুরু করা ভালা হয়,menʃɪn ʃɔhɐle pɔɽɐʃonɐ ko͡ɪ̯ɾɐ pɾot̪t̪ekd̪ɪn ʃuɾu kɔɾɐ bʱɐlɐ hɔe̯
সকালে পড়াশোনা করে আমি আরামে মনোযোগ দিতে পারি,Mymensingh সকালে পড়াশুনা কইরা আমি আরামে মনোযোগ দিতাম ফারি,menʃɪnho ʃɔkɐle pɔɽɐʃunɐ ko͡ɪ̯ɾɐ ɐmɪ ɐɾɐme monoɟog d̪ɪt̪ɐm pʰɐɾɪ
সকালের শুরুতেই পড়াশোনা শুরু করা ভালো,Mymensingh সকালের শুরুতেই পড়াশোনা শুরু করা ভালা,menosɪng ʃɔkɐleɾ ʃuɾut̪e͡ɪ̯ pɔɽɐʃonɐ ʃuɾu kɔɾɐ bʱɐlɐ
অনেকদিন আগে এক গ্রামে এক টুপি বিক্রেতা ছিলেন,Mymensingh মেলাদিন আগে এক গেরামে এক টুপি বিক্রেতা আসিন,mɛlɐd̪ɪn ɐge ɛk geɾɐme ɛk tupɪ bɪkɾet̪ɐ ɐʃɪn
তিনি একদিন পাশের গ্রামে গিয়ে টুপি বিক্রি করছিলেন,Mymensingh হেয় একদিন পাশের গেরামে গিয়া টুপি বিক্রি করতাসিল, menʃɪn hee̯ ɛkd̪ɪn pɐʃeɾ geɾɐme gɪʲɐ tupɪ bɪkɾɪ koɾt̪ɐʃɪl
তিনি রাস্তা দিয়ে তার গ্রামের দিকে ফিরছিলেন,Mymensingh হেয় রাস্তা দিয়া হের গেরামের দিকে ফিরতাসিন,menʃɪnh hee̯ ɾɐst̪ɐ d̪ɪʲɐ heɾ geɾɐmeɾ d̪ɪke pʰɪɾot̪ɐʃɪn
সেই সময় পাশ দিয়ে এক শিয়াল যাচ্ছিল,Mymensingh হেই সময় পাশ দিয়া একটা শিয়াল যাইতাসিল,mɔʲenʃɪn he͡ɪ̯ ʃɔmɔe̯ pɐʃ d̪ɪʲɐ ɛktɐ ʃɪʲɐl ɟɐ͡ɪ̯t̪ɐʃɪl
আমাকে সেখানে নিয়ে চলো,Mymensingh আমারে ওইহানে নিয়া চল,mɔnoʃɪn ɐmɐɾe o͡ɪ̯hɐne nɪʲɐ cɔl
এরপর থেকে তারা দুজনই সবজি বাগানে গিয়ে পেট ভরে খাবার খেতো,Mymensingh এরপর থাইক্কা হেরা দুইজনই সবজি বাগানে গিয়া পেট ভইরা খাওন খাইত,menʃɪnho eɾpɔɾ t̪ʰɐ͡ɪ̯kkɐ heɾɐ d̪u͡ɪ̯ɟɔnɪ ʃɔbɟɪ bɐgɐne gɪʲɐ pet bʱo͡ɪ̯ɾɐ kʰɐ͡o̯n kʰɐ
এখন তুমি গান গাইতে পারবে না,Mymensingh এহন তুমি গান গাইতে পারতা না,mɔʲensɪg ehon t̪umɪ gɐn gɐ͡ɪ̯t̪e pɐɾt̪ɐ nɐ
আমি গান গাইতে চাই,Mymensingh আমি গান গাইতাম চাই,menʃɪn ɐmɪ gɐn gɐ͡ɪ̯t̪ɐm cɐ͡ɪ̯
এখন যদি তুমি গান গাও তবে চাষী শুনতে পাবে,Mymensingh এহন যদি তুমি গান গাও তাইলে চাষী হুনতে পাইব,menʃɪn ehon ɟod̪ɪ t̪umɪ gɐn gɐ͡o̯ t̪ɐ͡ɪ̯le cɐʃɪ hunt̪e pɐ͡ɪ̯bo
একদিন নদীর ধারে একটি গাছে কাঠ কাটার সময় তার কুড়ালটি নদীর জলের মধ্যে পড়ে যায়,Mymensingh একদিন নদীর ধারে একটা গাসে কাঠ কাটনের সময় হের কুড়ালডা নদীর ফানির মধ্যে ফইড়া যায়,mɔʲenʃɪn ɛkd̪ɪn nod̪ɪɾ d̪ʱɐɾe ɛktɐ gɐʃe kɐtʰ kɐtoneɾ ʃɔmɔe̯ heɾ kuɽɐldɐ nod̪ɪɾ pʰɐnɪɾ mod
আমার নীল আকাশ দেখতে অনেক ভালো লাগে,Mymensingh আমার নীল আকাশ দেখতে অনেক ভালা লাগে, menʃɔn ɐmɐɾ nɪl ɐkɐʃ d̪ekʰt̪e ɔnek bʱɐlɐ lɐge
তোমার কি নীল আকাশ দেখতে ভালো লাগে ?,Mymensingh তোমার কিতা নীল আকাশ দেখতে ভালা লাগে ?, menʃɪn t̪omɐɾ kɪt̪ɐ nɪl ɐkɐʃ d̪ekʰt̪e bʱɐlɐ lɐge?
আমার পরীক্ষা দিতে একদমই ভালো  লাগে না,Mymensingh আমার পরীক্ষা দিতে একদমই ভালা লাগে না, menʃɪn ɐmɐɾ poɾɪkkʰɐ d̪ɪt̪e ɛkd̪ɔmɪ bʱɐlɐ lɐge nɐ
আপনার কি পরীক্ষা দিতে ভালো  লাগে ?,Mymensingh আফনের কি পরীক্ষা দিতে ভালা লাগে ?, menʃɪn ɐpʰoneɾ kɪ poɾɪkkʰɐ d̪ɪt̪e bʱɐlɐ lɐge?
আপনি কেমন আছেন?,Mymensingh আফনে কেমত আসেন?,menʃɪn ɐcʰone kemɔt̪ ɐʃen?
আমি ভালো আছি,Mymensingh আমি ভালা আছি,menosho ɐmɪ vɐlɐ ɐcʰɪ
কী করছেন আপনি এখন?,Mymensingh কিতা করতাসুইন আফনে এহন?,mɔʲensɪn kɪt̪ɐ koɾt̪ɐʃu͡ɪ̯n ɐcʰone ehon?
আমি একটি বই পড়ছি,Mymensingh আমি একটা বই পড়তাসি,menʃɪnho ɐmɪ ɛktɐ bo͡ɪ̯ pɔɽt̪ɐʃɪ
